,Seed,Region,SeedNum,Round of 64,Round of 32,Sweet 16,Elite 8,Final Four,Championship,Champion,Season,PlayinKey
78,W15,W,15,1.0,0.0262,0.0033,0.0003,0.0,0.0,0.0,2018,
79,W16,W,16,1.0,0.0169,0.0021,0.0002,0.0,0.0,0.0,2018,
80,X01,X,1,1.0,0.9161,0.6816,0.5759,0.3344,0.1429,0.0867,2018,
81,X02,X,2,1.0,0.9577,0.7983,0.5917,0.3663,0.1777,0.1129,2018,
82,X03,X,3,1.0,0.9025,0.6693,0.2637,0.1364,0.0493,0.0262,2018,
83,X04,X,4,1.0,0.811,0.4169,0.1039,0.0256,0.005,0.0015,2018,
84,X05,X,5,1.0,0.6486,0.3954,0.1028,0.0258,0.0058,0.0013,2018,
85,X06,X,6,1.0,0.5433,0.1784,0.0438,0.0138,0.0027,0.0008,2018,
86,X07,X,7,1.0,0.5102,0.0829,0.0265,0.0071,0.0014,0.0001,2018,
87,X08,X,8,1.0,0.5723,0.1921,0.1195,0.042,0.0121,0.0047,2018,
88,X09,X,9,1.0,0.4277,0.1113,0.062,0.0177,0.0037,0.0012,2018,
89,X10,X,10,1.0,0.4898,0.1124,0.0426,0.0157,0.0026,0.0009,2018,
90,X11,X,11,1.0,0.4567,0.1297,0.0293,0.0088,0.0019,0.0003,2018,
91,X12,X,12,1.0,0.3514,0.1471,0.0292,0.0054,0.0007,0.0002,2018,
92,X13,X,13,1.0,0.189,0.0406,0.0025,0.0001,0.0,0.0,2018,
93,X14,X,14,1.0,0.0975,0.0226,0.0017,0.0002,0.0,0.0,2018,
94,X15,X,15,1.0,0.0423,0.0064,0.0007,0.0002,0.0,0.0,2018,
95,X16,X,16,1.0,0.0839,0.015,0.0042,0.0005,0.0,0.0,2018,
96,Y01,Y,1,1.0,0.9667,0.8227,0.608,0.421,0.2708,0.1324,2018,
97,Y02,Y,2,1.0,0.8536,0.5723,0.3643,0.1735,0.1023,0.0378,2018,
98,Y03,Y,3,1.0,0.9216,0.5846,0.2695,0.1095,0.049,0.0112,2018,
99,Y04,Y,4,1.0,0.6628,0.2547,0.071,0.0315,0.0127,0.0019,2018,
100,Y05,Y,5,1.0,0.8171,0.5597,0.221,0.1165,0.0564,0.0159,2018,
101,Y06,Y,6,1.0,0.7579,0.3335,0.139,0.0473,0.0156,0.0036,2018,
102,Y07,Y,7,1.0,0.5244,0.2205,0.1165,0.044,0.0201,0.0055,2018,
103,Y08,Y,8,1.0,0.442,0.0841,0.0298,0.0108,0.0032,0.0003,2018,
104,Y09,Y,9,1.0,0.558,0.0848,0.0295,0.0089,0.0023,0.0005,2018,
105,Y10,Y,10,1.0,0.4756,0.1815,0.0872,0.0208,0.0082,0.0014,2018,
106,Y11,Y,11,1.0,0.2421,0.0694,0.0191,0.003,0.0006,0.0001,2018,
107,Y12,Y,12,1.0,0.1829,0.0965,0.0196,0.0065,0.0009,0.0,2018,
108,Y13,Y,13,1.0,0.3372,0.0891,0.0198,0.0059,0.0017,0.0002,2018,
109,Y14,Y,14,1.0,0.0784,0.0125,0.0012,0.0002,0.0,0.0,2018,
110,Y15,Y,15,1.0,0.1464,0.0257,0.0032,0.0005,0.0001,0.0,2018,
111,Y16,Y,16,1.0,0.0333,0.0084,0.0013,0.0001,0.0,0.0,2018,
112,Z01,Z,1,1.0,0.9672,0.682,0.4317,0.2325,0.1189,0.0416,2018,
113,Z02,Z,2,1.0,0.9448,0.6769,0.4518,0.2863,0.1542,0.0611,2018,
114,Z03,Z,3,1.0,0.829,0.4642,0.181,0.0868,0.0361,0.01,2018,
115,Z04,Z,4,1.0,0.7995,0.4268,0.2023,0.0933,0.039,0.0093,2018,
116,Z05,Z,5,1.0,0.7317,0.4303,0.2076,0.094,0.0375,0.0093,2018,
117,Z06,Z,6,1.0,0.663,0.3499,0.1628,0.0762,0.0323,0.0081,2018,
118,Z07,Z,7,1.0,0.6565,0.2353,0.1218,0.0553,0.0187,0.004,2018,
119,Z08,Z,8,1.0,0.4618,0.1395,0.0564,0.0176,0.0048,0.0005,2018,
120,Z09,Z,9,1.0,0.5382,0.1749,0.0713,0.0254,0.0073,0.0017,2018,
121,Z10,Z,10,1.0,0.3435,0.0826,0.031,0.0108,0.0031,0.0005,2018,
122,Z11,Z,11,1.0,0.337,0.1573,0.0471,0.0154,0.0032,0.0003,2018,
123,Z12,Z,12,1.0,0.2683,0.0894,0.0204,0.0044,0.0007,0.0,2018,
124,Z13,Z,13,1.0,0.2005,0.0535,0.0098,0.0014,0.0003,0.0,2018,
125,Z14,Z,14,1.0,0.171,0.0286,0.0043,0.0006,0.0,0.0,2018,
126,Z15,Z,15,1.0,0.0552,0.0052,0.0002,0.0,0.0,0.0,2018,
127,Z16,Z,16,1.0,0.0328,0.0036,0.0005,0.0,0.0,0.0,2018,
128,W01,W,1,1.0,0.9702,0.8507,0.6321,0.4492,0.3001,0.1973,2019,
129,W02,W,2,1.0,0.9297,0.7114,0.4786,0.2387,0.1292,0.066,2019,
130,W03,W,3,1.0,0.864,0.5297,0.2572,0.0854,0.028,0.0108,2019,
131,W04,W,4,1.0,0.7802,0.5488,0.1867,0.0902,0.0412,0.0169,2019,
132,W05,W,5,1.0,0.824,0.3575,0.107,0.0448,0.0156,0.0046,2019,
133,W06,W,6,1.0,0.783,0.3731,0.1396,0.0412,0.013,0.0047,2019,
134,W07,W,7,1.0,0.5845,0.1753,0.073,0.0222,0.0057,0.0017,2019,
135,W08,W,8,1.0,0.2689,0.0375,0.0154,0.0044,0.0005,0.0001,2019,
136,W09,W,9,1.0,0.7311,0.1084,0.0492,0.0129,0.0023,0.0006,2019,
137,W10,W,10,1.0,0.4155,0.0994,0.0363,0.0079,0.0022,0.0004,2019,
138,W11,W,11,1.0,0.217,0.0631,0.0092,0.0011,0.0002,0.0001,2019,
139,W12,W,12,1.0,0.176,0.0409,0.0041,0.0006,0.0,0.0,2019,
140,W13,W,13,1.0,0.2198,0.0528,0.0052,0.0005,0.0001,0.0,2019,
141,W14,W,14,1.0,0.136,0.0341,0.0037,0.0006,0.0,0.0,2019,
142,W15,W,15,1.0,0.0703,0.0139,0.0024,0.0003,0.0,0.0,2019,
143,W16,W,16,1.0,0.0298,0.0034,0.0003,0.0,0.0,0.0,2019,
144,X01,X,1,1.0,0.961,0.7736,0.5602,0.344,0.1854,0.1117,2019,
145,X02,X,2,1.0,0.9373,0.7446,0.487,0.2833,0.1458,0.071,2019,
146,X03,X,3,1.0,0.8744,0.5644,0.2837,0.1287,0.0553,0.0265,2019,
147,X04,X,4,1.0,0.8496,0.6019,0.2559,0.103,0.0351,0.0126,2019,
148,X05,X,5,1.0,0.7423,0.2972,0.0739,0.0237,0.0065,0.0016,2019,
149,X06,X,6,1.0,0.3939,0.1859,0.0588,0.0249,0.0097,0.0033,2019,
150,X07,X,7,1.0,0.3504,0.0738,0.0243,0.0045,0.0007,0.0,2019,
151,X08,X,8,1.0,0.5403,0.1085,0.0439,0.0147,0.0029,0.0008,2019,
152,X09,X,9,1.0,0.4597,0.1136,0.0522,0.0151,0.0036,0.0008,2019,
153,X10,X,10,1.0,0.6496,0.1692,0.0774,0.0303,0.0092,0.0025,2019,
154,X11,X,11,1.0,0.6061,0.2303,0.0641,0.0242,0.0073,0.0024,2019,
155,X12,X,12,1.0,0.2577,0.0654,0.01,0.002,0.0003,0.0,2019,
156,X13,X,13,1.0,0.1504,0.0355,0.0037,0.0006,0.0,0.0,2019,
157,X14,X,14,1.0,0.1256,0.0194,0.0027,0.0007,0.0001,0.0,2019,
158,X15,X,15,1.0,0.0627,0.0124,0.002,0.0003,0.0,0.0,2019,
159,X16,X,16,1.0,0.039,0.0043,0.0002,0.0,0.0,0.0,2019,
160,Y01,Y,1,1.0,0.9755,0.8025,0.5513,0.3073,0.146,0.0742,2019,
161,Y02,Y,2,1.0,0.9301,0.7627,0.4168,0.2344,0.1268,0.0609,2019,
162,Y03,Y,3,1.0,0.7641,0.5432,0.3517,0.1977,0.1088,0.0421,2019,
163,Y04,Y,4,1.0,0.8634,0.5405,0.2302,0.1045,0.0447,0.0142,2019,
164,Y05,Y,5,1.0,0.7876,0.3763,0.1428,0.0669,0.0232,0.0082,2019,
165,Y06,Y,6,1.0,0.61,0.2848,0.1199,0.0466,0.0154,0.0057,2019,
166,Y07,Y,7,1.0,0.5591,0.1379,0.0433,0.0135,0.0037,0.0011,2019,
167,Y08,Y,8,1.0,0.5024,0.0783,0.0167,0.0034,0.0005,0.0,2019,
168,Y09,Y,9,1.0,0.4976,0.1156,0.0372,0.007,0.0016,0.0001,2019,
169,Y10,Y,10,1.0,0.4409,0.0828,0.0194,0.0045,0.0013,0.0001,2019,
170,Y11,Y,11,1.0,0.39,0.1203,0.0364,0.0099,0.0019,0.0003,2019,
171,Y12,Y,12,1.0,0.2124,0.0603,0.0177,0.0024,0.0008,0.0001,2019,
172,Y13,Y,13,1.0,0.1366,0.0229,0.0038,0.0003,0.0,0.0,2019,
173,Y14,Y,14,1.0,0.2359,0.0517,0.0104,0.0015,0.0,0.0,2019,
174,Y15,Y,15,1.0,0.0699,0.0166,0.0021,0.0001,0.0001,0.0,2019,
175,Y16,Y,16,1.0,0.0245,0.0036,0.0003,0.0,0.0,0.0,2019,
176,Z01,Z,1,1.0,0.9656,0.823,0.6055,0.4494,0.2889,0.1688,2019,
177,Z02,Z,2,1.0,0.902,0.5882,0.3783,0.1665,0.0782,0.0316,2019,
178,Z03,Z,3,1.0,0.8339,0.5511,0.2886,0.1169,0.062,0.0291,2019,
179,Z04,Z,4,1.0,0.8079,0.4025,0.1189,0.0552,0.0234,0.0064,2019,
180,Z05,Z,5,1.0,0.5711,0.357,0.1293,0.0706,0.0287,0.0109,2019,
181,Z06,Z,6,1.0,0.512,0.2099,0.0815,0.0219,0.0061,0.0016,2019,
182,Z07,Z,7,1.0,0.6151,0.2497,0.1137,0.0325,0.0115,0.0029,2019,
183,Z08,Z,8,1.0,0.2598,0.0308,0.0112,0.0024,0.0007,0.0002,2019,
184,Z09,Z,9,1.0,0.7402,0.1414,0.0667,0.0245,0.0092,0.0023,2019,
185,Z10,Z,10,1.0,0.3849,0.1446,0.0636,0.0192,0.0052,0.0009,2019,
186,Z11,Z,11,1.0,0.488,0.1824,0.0621,0.0148,0.0034,0.0006,2019,
187,Z12,Z,12,1.0,0.4289,0.2024,0.0623,0.0239,0.0076,0.0013,2019,
188,Z13,Z,13,1.0,0.1921,0.0381,0.0052,0.0011,0.0002,0.0,2019,
189,Z14,Z,14,1.0,0.1661,0.0566,0.0099,0.001,0.0001,0.0,2019,
190,Z15,Z,15,1.0,0.098,0.0175,0.0023,0.0,0.0,0.0,2019,
191,Z16,Z,16,1.0,0.0344,0.0048,0.0009,0.0001,0.0,0.0,2019,
192,W01,W,1,1.0,0.9513,0.5142,0.3244,0.2002,0.0844,0.0435,2021,
193,W02,W,2,1.0,0.8716,0.4766,0.3099,0.1574,0.0621,0.0254,2021,
194,W03,W,3,1.0,0.7543,0.4632,0.2034,0.0872,0.0262,0.0095,2021,
195,W04,W,4,1.0,0.7761,0.5195,0.2371,0.1387,0.0552,0.022,2021,
196,W05,W,5,1.0,0.5475,0.232,0.0822,0.0381,0.0111,0.003,2021,
197,W06,W,6,1.0,0.5696,0.3004,0.1202,0.0376,0.0092,0.003,2021,
198,W07,W,7,1.0,0.7045,0.405,0.2602,0.1252,0.0422,0.0168,2021,
199,W08,W,8,1.0,0.5567,0.2738,0.1716,0.1045,0.0406,0.0179,2021,
200,W09,W,9,1.0,0.4433,0.2089,0.119,0.0589,0.0204,0.0075,2021,
201,W10,W,10,1.0,0.2955,0.0907,0.0369,0.0108,0.0018,0.0002,2021,
202,W11,W,11,1.0,0.4304,0.1714,0.0544,0.0165,0.0031,0.0011,2021,
203,W12,W,12,1.0,0.4525,0.1747,0.048,0.0179,0.003,0.0006,2021,
204,W13,W,13,1.0,0.2239,0.0738,0.0175,0.0045,0.0009,0.0003,2021,
205,W14,W,14,1.0,0.2457,0.065,0.0078,0.0013,0.0002,0.0,2021,
206,W15,W,15,1.0,0.1284,0.0277,0.0072,0.0012,0.0002,0.0,2021,
207,W16,W,16,1.0,0.0487,0.0031,0.0002,0.0,0.0,0.0,2021,
208,X01,X,1,1.0,0.9772,0.8789,0.7185,0.5684,0.4375,0.2826,2021,
209,X02,X,2,1.0,0.8368,0.5916,0.4117,0.1553,0.0874,0.0424,2021,
210,X03,X,3,1.0,0.8119,0.4541,0.1949,0.0575,0.0225,0.0083,2021,
211,X04,X,4,1.0,0.7861,0.4858,0.1255,0.0641,0.0321,0.0122,2021,
212,X05,X,5,1.0,0.7373,0.3536,0.0875,0.0412,0.0177,0.0051,2021,
213,X06,X,6,1.0,0.6876,0.3902,0.1642,0.0427,0.0186,0.0052,2021,
214,X07,X,7,1.0,0.4005,0.1326,0.0607,0.0125,0.0049,0.0009,2021,
215,X08,X,8,1.0,0.4069,0.0507,0.0193,0.0075,0.0018,0.0002,2021,
216,X09,X,9,1.0,0.5931,0.0678,0.0285,0.0102,0.0034,0.0007,2021,
217,X10,X,10,1.0,0.5995,0.2253,0.1177,0.0263,0.0098,0.0032,2021,
218,X11,X,11,1.0,0.3124,0.1003,0.0255,0.0046,0.0015,0.0004,2021,
219,X12,X,12,1.0,0.2627,0.0766,0.0075,0.0019,0.0004,0.0002,2021,
220,X13,X,13,1.0,0.2139,0.084,0.0129,0.0047,0.0014,0.0002,2021,
221,X14,X,14,1.0,0.1881,0.0554,0.0088,0.0011,0.0002,0.0001,2021,
222,X15,X,15,1.0,0.1632,0.0505,0.0165,0.002,0.0002,0.0,2021,
223,X16,X,16,1.0,0.0228,0.0026,0.0003,0.0,0.0,0.0,2021,
224,Y01,Y,1,1.0,0.8814,0.6421,0.4787,0.2146,0.1322,0.06,2021,
225,Y02,Y,2,1.0,0.9636,0.8278,0.6501,0.4866,0.373,0.2491,2021,
226,Y03,Y,3,1.0,0.8221,0.4626,0.1365,0.0623,0.0264,0.007,2021,
227,Y04,Y,4,1.0,0.7785,0.4112,0.1577,0.0469,0.0189,0.0044,2021,
228,Y05,Y,5,1.0,0.709,0.4309,0.1817,0.0632,0.0281,0.0092,2021,
229,Y06,Y,6,1.0,0.4537,0.2369,0.0713,0.0295,0.0137,0.0046,2021,
230,Y07,Y,7,1.0,0.3437,0.0348,0.0099,0.0024,0.0004,0.0002,2021,
231,Y08,Y,8,1.0,0.6498,0.2219,0.0967,0.0292,0.0113,0.0036,2021,
232,Y09,Y,9,1.0,0.3502,0.1048,0.0418,0.0079,0.0021,0.0005,2021,
233,Y10,Y,10,1.0,0.6563,0.1286,0.0461,0.0151,0.0054,0.0013,2021,
234,Y11,Y,11,1.0,0.5463,0.2683,0.0818,0.0365,0.0146,0.0047,2021,
235,Y12,Y,12,1.0,0.291,0.1073,0.0257,0.0038,0.0011,0.0,2021,
236,Y13,Y,13,1.0,0.2215,0.0506,0.0117,0.0012,0.0003,0.0,2021,
237,Y14,Y,14,1.0,0.1779,0.0322,0.0032,0.0003,0.0001,0.0,2021,
238,Y15,Y,15,1.0,0.0364,0.0088,0.0011,0.0,0.0,0.0,2021,
239,Y16,Y,16,1.0,0.1186,0.0312,0.006,0.0005,0.0001,0.0,2021,
240,Z01,Z,1,1.0,0.9011,0.6101,0.4051,0.2802,0.1298,0.0616,2021,
241,Z02,Z,2,1.0,0.9237,0.5866,0.3903,0.204,0.0786,0.029,2021,
242,Z03,Z,3,1.0,0.477,0.2521,0.1134,0.0424,0.0124,0.0037,2021,
243,Z04,Z,4,1.0,0.8371,0.479,0.2192,0.1205,0.0509,0.0188,2021,
244,Z05,Z,5,1.0,0.7419,0.4011,0.1613,0.0754,0.0237,0.0065,2021,
245,Z06,Z,6,1.0,0.5165,0.2648,0.1007,0.0357,0.0095,0.003,2021,
246,Z07,Z,7,1.0,0.5943,0.2799,0.1554,0.0608,0.0166,0.0055,2021,
247,Z08,Z,8,1.0,0.4573,0.1704,0.0786,0.0375,0.0107,0.0034,2021,
248,Z09,Z,9,1.0,0.5427,0.2049,0.1094,0.0544,0.0182,0.0055,2021,
249,Z10,Z,10,1.0,0.4057,0.1239,0.0613,0.02,0.0053,0.0014,2021,
250,Z11,Z,11,1.0,0.4835,0.2531,0.0924,0.0321,0.0098,0.0028,2021,
251,Z12,Z,12,1.0,0.2581,0.0747,0.0144,0.0041,0.0005,0.0,2021,
252,Z13,Z,13,1.0,0.1629,0.0452,0.0103,0.0026,0.0006,0.0001,2021,
253,Z14,Z,14,1.0,0.523,0.23,0.0849,0.0299,0.0057,0.0016,2021,
254,Z15,Z,15,1.0,0.0763,0.0096,0.0016,0.0,0.0,0.0,2021,
255,Z16,Z,16,1.0,0.0989,0.0146,0.0017,0.0004,0.0,0.0,2021,
256,W01,W,1,1.0,0.9646,0.6318,0.3797,0.2133,0.105,0.0533,2022,
257,W02,W,2,1.0,0.9087,0.6894,0.4073,0.2286,0.1303,0.0659,2022,
258,W03,W,3,1.0,0.9131,0.5139,0.2631,0.13,0.0592,0.026,2022,
259,W04,W,4,1.0,0.9035,0.6832,0.3612,0.1923,0.1012,0.0437,2022,
260,W05,W,5,1.0,0.5952,0.1751,0.0692,0.0247,0.0086,0.0022,2022,
261,W06,W,6,1.0,0.4597,0.2336,0.1144,0.0483,0.0208,0.0084,2022,
262,W07,W,7,1.0,0.4798,0.117,0.0384,0.0115,0.0024,0.0006,2022,
263,W08,W,8,1.0,0.7795,0.3115,0.1388,0.0621,0.0257,0.0107,2022,
264,W09,W,9,1.0,0.2205,0.052,0.0132,0.0031,0.0012,0.0002,2022,
265,W10,W,10,1.0,0.5202,0.1757,0.0695,0.0258,0.009,0.0019,2022,
266,W11,W,11,1.0,0.5403,0.2436,0.1031,0.0488,0.0196,0.0069,2022,
267,W12,W,12,1.0,0.4048,0.125,0.0355,0.0107,0.0021,0.0005,2022,
268,W13,W,13,1.0,0.0965,0.0167,0.0018,0.0002,0.0,0.0,2022,
269,W14,W,14,1.0,0.0869,0.0089,0.0007,0.0,0.0,0.0,2022,
270,W15,W,15,1.0,0.0913,0.0179,0.0035,0.0006,0.0001,0.0,2022,
271,W16,W,16,1.0,0.0354,0.0047,0.0006,0.0,0.0,0.0,2022,
272,X01,X,1,1.0,0.9479,0.6982,0.5778,0.37,0.216,0.1111,2022,
273,X02,X,2,1.0,0.9684,0.7418,0.4888,0.263,0.1511,0.0773,2022,
274,X03,X,3,1.0,0.8999,0.6107,0.2876,0.1443,0.0675,0.028,2022,
275,X04,X,4,1.0,0.6286,0.2885,0.064,0.0157,0.0039,0.0005,2022,
276,X05,X,5,1.0,0.7195,0.4716,0.1395,0.0468,0.0169,0.0042,2022,
277,X06,X,6,1.0,0.5049,0.2123,0.0615,0.0197,0.0063,0.0015,2022,
278,X07,X,7,1.0,0.5734,0.1756,0.0741,0.0286,0.0087,0.0028,2022,
279,X08,X,8,1.0,0.3384,0.061,0.0277,0.007,0.0014,0.0002,2022,
280,X09,X,9,1.0,0.6616,0.2324,0.1513,0.0672,0.0307,0.0097,2022,
281,X10,X,10,1.0,0.4266,0.0777,0.0287,0.0071,0.002,0.0002,2022,
282,X11,X,11,1.0,0.4951,0.1654,0.0581,0.0215,0.0083,0.0025,2022,
283,X12,X,12,1.0,0.2805,0.1316,0.0207,0.0045,0.0012,0.0003,2022,
284,X13,X,13,1.0,0.3714,0.1083,0.0167,0.0044,0.0008,0.0001,2022,
285,X14,X,14,1.0,0.1001,0.0116,0.0006,0.0,0.0,0.0,2022,
286,X15,X,15,1.0,0.0316,0.0049,0.0006,0.0001,0.0,0.0,2022,
287,X16,X,16,1.0,0.0521,0.0084,0.0023,0.0001,0.0,0.0,2022,
288,Y01,Y,1,1.0,0.956,0.7984,0.5926,0.4508,0.2557,0.163,2022,
289,Y02,Y,2,1.0,0.9072,0.61,0.366,0.138,0.0573,0.0232,2022,
290,Y03,Y,3,1.0,0.7681,0.3602,0.157,0.0454,0.0118,0.0031,2022,
291,Y04,Y,4,1.0,0.7787,0.2743,0.0728,0.0308,0.0081,0.0023,2022,
292,Y05,Y,5,1.0,0.8811,0.6575,0.2596,0.1653,0.0692,0.0317,2022,
293,Y06,Y,6,1.0,0.6646,0.4226,0.22,0.0798,0.0245,0.0095,2022,
294,Y07,Y,7,1.0,0.484,0.1624,0.0689,0.0165,0.0044,0.0012,2022,
