TeamName,Seed,Region,SeedNum,Round of 64,Round of 32,Sweet 16,Elite 8,Final Four,Championship,Champion
Kansas,Z07,Z,7,1.0,0.8277,0.4042,0.147,0.0656,0.0267,0.0101
Connecticut,Z08,Z,8,1.0,0.4843,0.1378,0.0684,0.0229,0.0078,0.002
Oklahoma,Z09,Z,9,1.0,0.5157,0.1252,0.0628,0.0223,0.008,0.002
Arkansas,Z10,Z,10,1.0,0.1723,0.0677,0.0218,0.005,0.0011,0.0002
Drake,Z11,Z,11,1.0,0.3768,0.1022,0.0316,0.0085,0.0021,0.0005
Colorado St,Z12,Z,12,1.0,0.6368,0.2233,0.0513,0.0131,0.0037,0.0003
Grand Canyon,Z13,Z,13,1.0,0.2078,0.074,0.0083,0.0017,0.0005,0.0
UNC Wilmington,Z14,Z,14,1.0,0.0622,0.0039,0.0005,0.0,0.0,0.0
NE Omaha,Z15,Z,15,1.0,0.139,0.0227,0.0019,0.0,0.0,0.0
Norfolk St,Z16,Z,16,1.0,0.0229,0.003,0.0004,0.0,0.0,0.0
